Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,eye.mp3,I070.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bed.mp3,I130.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,ball.mp3,I014.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cup.mp3,I245.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,doll.mp3,I015.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pineapple.mp3,I173.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,table.mp3,I226.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,balloon.mp3,I105.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,banana.mp3,I074.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,frog.mp3,I100.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,duck.mp3,I081.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,foot.mp3,I094.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,flower.mp3,I091.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,guitar.mp3,I111.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arm.mp3,I007.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lamp.mp3,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,broom.mp3,I044.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,house.mp3,I122.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cow.mp3,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,book.mp3,I030.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bell.mp3,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,chicken.mp3,I260.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,candle.mp3,I086.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mountain.mp3,I146.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,knife.mp3,I153.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pear.mp3,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pig.mp3,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,glasses.mp3,I135.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,heart.mp3,I119.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,star.mp3,I217.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,turtle.mp3,I244.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pants.mp3,I037.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,apple.mp3,I006.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fork.mp3,I097.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bus.mp3,I162.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,finger.mp3,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,rabbit.mp3,I233.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,chair.mp3,I047.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,key.mp3,I166.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,umbrella.mp3,I002.png,ArrowLeft
