Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,E8_450ms.mp3,E7_450ms.mp3,56,ArrowRight
Fixation_Point3.jpg,E3_450ms.mp3,E9_450ms.mp3,24,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E7_450ms.mp3,28,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E5_450ms.mp3,48,ArrowLeft
Fixation_Point3.jpg,E7_450ms.mp3,E5_450ms.mp3,35,ArrowRight
Fixation_Point3.jpg,E4_450ms.mp3,E9_450ms.mp3,27,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E4_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E6_450ms.mp3,24,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E9_450ms.mp3,72,ArrowRight
Fixation_Point3.jpg,E6_450ms.mp3,E8_450ms.mp3,48,ArrowRight
Fixation_Point3.jpg,E5_450ms.mp3,E7_450ms.mp3,42,ArrowLeft
Fixation_Point3.jpg,E8_450ms.mp3,E6_450ms.mp3,54,ArrowLeft
Fixation_Point3.jpg,E8_450ms.mp3,E4_450ms.mp3,40,ArrowLeft
Fixation_Point3.jpg,E7_450ms.mp3,E3_450ms.mp3,24,ArrowLeft
Fixation_Point3.jpg,E6_450ms.mp3,E5_450ms.mp3,36,ArrowLeft
Fixation_Point3.jpg,E6_450ms.mp3,E2_450ms.mp3,14,ArrowLeft
Fixation_Point3.jpg,E3_450ms.mp3,E4_450ms.mp3,12,ArrowRight
Fixation_Point3.jpg,E2_450ms.mp3,E4_450ms.mp3,8,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E3_450ms.mp3,30,ArrowLeft
Fixation_Point3.jpg,E7_450ms.mp3,E8_450ms.mp3,64,ArrowLeft
Fixation_Point3.jpg,E7_450ms.mp3,E3_450ms.mp3,21,ArrowRight
Fixation_Point3.jpg,E5_450ms.mp3,E8_450ms.mp3,40,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E7_450ms.mp3,70,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E4_450ms.mp3,20,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E8_450ms.mp3,80,ArrowLeft
Fixation_Point3.jpg,E5_450ms.mp3,E6_450ms.mp3,30,ArrowRight
Fixation_Point3.jpg,E2_450ms.mp3,E7_450ms.mp3,14,ArrowRight
Fixation_Point3.jpg,E9_450ms.mp3,E7_450ms.mp3,63,ArrowRight
