Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,S3_450ms.mp3,S8_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,S8_450ms.mp3,S7_450ms.mp3,63,ArrowLeft
Fixation_Point3.jpg,S4_450ms.mp3,S7_450ms.mp3,28,ArrowRight
Fixation_Point3.jpg,S6_450ms.mp3,S7_450ms.mp3,49,ArrowLeft
Fixation_Point3.jpg,S4_450ms.mp3,S5_450ms.mp3,20,ArrowRight
Fixation_Point3.jpg,S7_450ms.mp3,S2_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,S4_450ms.mp3,S6_450ms.mp3,24,ArrowRight
Fixation_Point3.jpg,S8_450ms.mp3,S7_450ms.mp3,56,ArrowRight
Fixation_Point3.jpg,S8_450ms.mp3,S2_450ms.mp3,16,ArrowRight
Fixation_Point3.jpg,S2_450ms.mp3,S9_450ms.mp3,18,ArrowRight
