Fixation,First_Operand,Second_Operand,Solution,Correct_answer
Fixation_Point3.jpg,E3_450ms.mp3,E8_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,E8_450ms.mp3,E7_450ms.mp3,63,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E7_450ms.mp3,28,ArrowRight
Fixation_Point3.jpg,E6_450ms.mp3,E7_450ms.mp3,49,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E5_450ms.mp3,20,ArrowRight
Fixation_Point3.jpg,E7_450ms.mp3,E2_450ms.mp3,16,ArrowLeft
Fixation_Point3.jpg,E4_450ms.mp3,E6_450ms.mp3,24,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E7_450ms.mp3,56,ArrowRight
Fixation_Point3.jpg,E8_450ms.mp3,E2_450ms.mp3,16,ArrowRight
Fixation_Point3.jpg,E2_450ms.mp3,E9_450ms.mp3,18,ArrowRight
