Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,calcetin.mp3,I211.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,raton.mp3,I149.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tenedor.mp3,I097.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,perro.mp3,I073.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,conejo.mp3,I208.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,platano.mp3,I162.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,estrella.mp3,I148.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sombrero.mp3,I118.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,paraguas.mp3,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,montana.mp3,I148.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pollo.mp3,I128.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,leon.mp3,I260.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mono.mp3,I145.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cabello.mp3,I053.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,luna.mp3,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,caracol.mp3,I140.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vela.mp3,I220.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tomate.mp3,I236.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,carro.mp3,I070.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pina.mp3,I173.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,montana.mp3,I032.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,serpiente.mp3,I121.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pescado.mp3,I172.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,caballo.mp3,I100.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,reloj.mp3,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pelota.mp3,I007.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mesa.mp3,I226.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,silla.mp3,I047.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,limon.mp3,I135.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tigre.mp3,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,dedo.mp3,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,zanahoria.mp3,I222.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,globo.mp3,I111.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cebra.mp3,I089.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,flor.mp3,I091.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,botella.mp3,I030.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,nariz.mp3,I155.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,zapato.mp3,I204.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,guitarra.mp3,I111.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,manzana.mp3,I006.png,ArrowRight
