Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cuchillo.mp3,I130.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,autobus.mp3,I039.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pan.mp3,I067.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,fresa.mp3,I217.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lentes.mp3,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,muneco.mp3,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cinturon.mp3,I026.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pato.mp3,I209.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pantalon.mp3,I146.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cerdo.mp3,I233.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,llave.mp3,I015.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,tortuga.mp3,I212.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mano.mp3,I113.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,avion.mp3,I002.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,sol.mp3,I105.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arana.mp3,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cocodrilo.mp3,I003.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,corazon.mp3,I044.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cuchara.mp3,I119.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,puerta.mp3,I076.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cama.mp3,I215.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,campana.mp3,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,vaso.mp3,I042.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,casa.mp3,I122.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,oso.mp3,I021.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pierna.mp3,I134.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,ojo.mp3,I086.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,rana.mp3,I244.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pera.mp3,I166.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,gato.mp3,I049.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pie.mp3,I094.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,vaca.mp3,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arbol.mp3,I241.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pajaro.mp3,I025.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sillon.mp3,I241.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pastel.mp3,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,payaso.mp3,I063.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,escoba.mp3,I037.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lampara.mp3,I014.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,brazo.mp3,I243.png,ArrowLeft
