Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cuchillo.mp3,I094.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,autobus.mp3,I063.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pan.mp3,I036.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fresa.mp3,I220.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lentes.mp3,I105.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,muneco.mp3,I241.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cinturon.mp3,I036.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pato.mp3,I081.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pantalones.mp3,I162.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cerdo.mp3,I172.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,llave.mp3,I128.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,tortuga.mp3,I244.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mano.mp3,I115.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,avion.mp3,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sol.mp3,I222.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arana.mp3,I212.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cocodrilo.mp3,I016.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,corazon.mp3,I119.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cuchara.mp3,I215.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,puerta.mp3,I118.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,cama.mp3,I022.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,campana.mp3,I049.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vaso.mp3,I070.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,casa.mp3,I236.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,oso.mp3,I149.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pierna.mp3,I135.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,ojo.mp3,I245.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,rana.mp3,I100.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pera.mp3,I088.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,gato.mp3,I060.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pie.mp3,I003.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,vaca.mp3,I068.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arbol.mp3,I002.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pajaro.mp3,I073.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,sillon.mp3,I007.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pastel.mp3,I211.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,payaso.mp3,I145.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,escoba.mp3,I097.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lampara.mp3,I132.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,brazo.mp3,I007.png,ArrowRight
