Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,cerdo.mp3,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,dedo.mp3,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,corazon.mp3,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,arana.mp3,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,puerta.mp3,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,muneco.mp3,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,paraguas.mp3,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pina.mp3,I120.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,raton.mp3,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,limon.mp3,I135.png,ArrowRight
