Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,pig.mp3,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,finger.mp3,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,heart.mp3,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,spider.mp3,I055.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,door.mp3,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,doll.mp3,I074.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,umbrella.mp3,I245.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pineapple.mp3,I120.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,mouse.mp3,I081.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,lemon.mp3,I135.png,ArrowRight
